
| tags | error | The tags for operation "ApplicationGatewayWafDynamicManifestsDefault_Get" changed: [] -> ["ApplicationGateways"] |
| tags | error | The tags for operation "AvailableDelegations_List" changed: [] -> ["AvailableDelegations"] |
| tags | error | The tags for operation "AvailableResourceGroupDelegations_List" changed: [] -> ["AvailableResourceGroupDelegations"] |
| tags | error | The tags for operation "AvailableServiceAliases_List" changed: [] -> ["AvailableServiceAliases"] |
| tags | error | The tags for operation "AvailableServiceAliases_ListByResourceGroup" changed: [] -> ["AvailableServiceAliases"] |
| tags | error | The tags for operation "AzureFirewalls_ListLearnedPrefixes" changed: [] -> ["AzureFirewalls"] |
| tags | error | The tags for operation "CheckDnsNameAvailability" changed: [] -> ["CheckDnsNameAvailability"] |
| tags | error | The tags for operation "PublicIPAddresses_ListCloudServicePublicIPAddresses" changed: [] -> ["PublicIPAddresses"] |
| tags | error | The tags for operation "PublicIPAddresses_ListCloudServiceRoleInstancePublicIPAddresses" changed: [] -> ["PublicIPAddresses"] |
| tags | error | The tags for operation "PublicIPAddresses_GetCloudServicePublicIPAddress" changed: [] -> ["PublicIPAddresses"] |
| tags | error | The tags for operation "AvailableEndpointServices_List" changed: [] -> ["AvailableEndpointServices"] |
| tags | error | The tags for operation "FirewallPolicyIdpsSignatures_List" changed: [] -> ["FirewallPolicies"] |
| tags | error | The tags for operation "FirewallPolicyIdpsSignaturesOverrides_Patch" changed: [] -> ["FirewallPolicyIdpsSignaturesOverrides"] |
| tags | error | The tags for operation "FirewallPolicyIdpsSignaturesOverrides_Put" changed: [] -> ["FirewallPolicyIdpsSignaturesOverrides"] |
| tags | error | The tags for operation "FirewallPolicyIdpsSignaturesOverrides_Get" changed: [] -> ["FirewallPolicyIdpsSignaturesOverrides"] |
| tags | error | The tags for operation "FirewallPolicyIdpsSignaturesFilterValues_List" changed: [] -> ["FirewallPolicies"] |
| tags | error | The tags for operation "FirewallPolicyIdpsSignaturesOverrides_List" changed: [] -> ["FirewallPolicyIdpsSignaturesOverrides"] |
| tags | error | The tags for operation "FirewallPolicyDrafts_CreateOrUpdate" changed: [] -> ["FirewallPolicyDrafts"] |
| tags | error | The tags for operation "FirewallPolicyDrafts_Delete" changed: [] -> ["FirewallPolicyDrafts"] |
| tags | error | The tags for operation "FirewallPolicyDrafts_Get" changed: [] -> ["FirewallPolicyDrafts"] |
| tags | error | The tags for operation "FirewallPolicyDeployments_Deploy" changed: [] -> ["FirewallPolicies"] |
| tags | error | The tags for operation "FirewallPolicyRuleCollectionGroupDrafts_Delete" changed: [] -> ["FirewallPolicyRuleCollectionGroupDrafts"] |
| tags | error | The tags for operation "FirewallPolicyRuleCollectionGroupDrafts_CreateOrUpdate" changed: [] -> ["FirewallPolicyRuleCollectionGroupDrafts"] |
| tags | error | The tags for operation "FirewallPolicyRuleCollectionGroupDrafts_Get" changed: [] -> ["FirewallPolicyRuleCollectionGroupDrafts"] |
